title,city,location,bedrooms,price_inr,area_sqft,estimated_monthly_rent,price_lakhs,price_lakhs_psf,down_payment,loan_amount,monthly_emi,effective_emi,total_tax_saved,final_property_value,final_renting_wealth,decision,wealth_difference
"2 BHK Apartment in koramangala, Bangalore",Bangalore,koramangala,2,6663399.0,847.3,30567,66.63,0.0786,1665850,4997549,38746,30987,1862203,21370423,17417841,BUYING is financially better,3952582
"4 BHK Apartment in koramangala, Bangalore",Bangalore,koramangala,4,12019524.0,1659.0,51546,120.2,0.0725,3004881,9014643,69890,61595,1990831,38548242,34145526,BUYING is financially better,4402716
"3 BHK Apartment in indiranagar, Bangalore",Bangalore,indiranagar,3,4478617.0,710.7,22334,44.79,0.063,1119654,3358963,26042,19284,1621888,14363531,10348215,BUYING is financially better,4015316
"3 BHK Apartment in bandra east, Mumbai",Mumbai,bandra east,3,29119009.0,1338.1,102768,291.19,0.2176,7279752,21839257,169320,160726,2062496,93388607,99511687,RENTING is financially better,6123080
"3 BHK Apartment in dattawadi, Bangalore",Bangalore,dattawadi,3,6623134.0,765.2,23995,66.23,0.0866,1655784,4967350,38512,30763,1859652,21241288,22162901,RENTING is financially better,921613
"3 BHK Apartment in tupe vasti, Bangalore",Bangalore,tupe vasti,3,6304601.0,790.1,26861,63.05,0.0798,1576150,4728451,36660,29000,1838337,20219710,18044324,BUYING is financially better,2175386
"3 BHK Apartment in nilanjali society, Mumbai",Mumbai,nilanjali society,3,11350832.0,1063.1,39323,113.51,0.1068,2837708,8513124,66002,57737,1983552,36403656,39350003,RENTING is financially better,2946347
"3 BHK Apartment in marathahalli, Bangalore",Bangalore,marathahalli,3,9725578.0,1272.6,41705,97.26,0.0764,2431394,7294184,56552,48380,1961139,31191246,27631348,BUYING is financially better,3559898
"3 BHK Apartment in chovisawadi, Mumbai",Mumbai,chovisawadi,3,3840145.0,945.0,16281,38.4,0.0406,960036,2880109,22329,16178,1476377,12315865,11051650,BUYING is financially better,1264215
"3 BHK Apartment in yelahanka, Bangalore",Bangalore,yelahanka,3,11865277.0,816.5,48826,118.65,0.1453,2966319,8898958,68994,60705,1989152,38053551,35270502,BUYING is financially better,2783048
"3 BHK Apartment in dattwadi, Bangalore",Bangalore,dattwadi,3,7322570.0,833.4,27965,73.23,0.0879,1830642,5491928,42579,34671,1897863,23484474,23412954,BUYING is financially better,71520
"3 BHK Apartment in bandra east, Mumbai",Mumbai,bandra east,3,8328041.0,885.1,37459,83.28,0.0941,2082010,6246031,48425,40369,1933456,26709156,22334274,BUYING is financially better,4374882
"4 BHK Apartment in shankar kalat nagar, Bangalore",Bangalore,shankar kalat nagar,4,13544236.0,1309.1,43494,135.44,0.1035,3386059,10158177,78756,70401,2005377,43438200,49556756,RENTING is financially better,6118557
"3 BHK Apartment in koramangala, Bangalore",Bangalore,koramangala,3,19524256.0,1229.0,83640,195.24,0.1589,4881064,14643192,113529,105042,2036704,62616934,55533762,BUYING is financially better,7083172
"3 BHK Apartment in bellandur, Bangalore",Bangalore,bellandur,3,2613129.0,878.6,9939,26.13,0.0297,653282,1959847,15195,10689,1081386,8380659,8385949,RENTING is financially better,5290
"3 BHK Apartment in hsr layout, Bangalore",Bangalore,hsr layout,3,5529994.0,726.6,21251,55.3,0.0761,1382498,4147496,32155,24782,1769726,17735440,17581287,BUYING is financially better,154153
"3 BHK Apartment in andheri west, Mumbai",Mumbai,andheri west,3,8377157.0,707.3,27474,83.77,0.1184,2094289,6282868,48711,40649,1934863,26866677,30216052,RENTING is financially better,3349375
"3 BHK Apartment in midc, Bangalore",Bangalore,midc,3,3292627.0,784.5,13133,32.93,0.042,823157,2469470,19146,13681,1311600,10559901,10103702,BUYING is financially better,456199
"3 BHK Apartment in koramangala, Bangalore",Bangalore,koramangala,3,16959454.0,868.3,63635,169.59,0.1953,4239864,12719590,98615,90169,2026904,54391267,55086289,RENTING is financially better,695023
"3 BHK Apartment in bellandur, Bangalore",Bangalore,bellandur,3,13680639.0,1358.7,60564,136.81,0.1007,3420160,10260479,79549,71190,2006236,43875663,37426035,BUYING is financially better,6449627
"3 BHK Apartment in midc, Bangalore",Bangalore,midc,3,7355732.0,727.4,29163,73.56,0.1011,1838933,5516799,42772,34858,1899257,23590829,22705432,BUYING is financially better,885397
"2 BHK Apartment in mukai nagar, Bangalore",Bangalore,mukai nagar,2,12107915.0,1345.8,50694,121.08,0.09,3026979,9080936,70404,62105,1991793,38831724,35331464,BUYING is financially better,3500259
"3 BHK Apartment in hills & dales, Mumbai",Mumbai,hills & dales,3,11053244.0,750.3,39362,110.53,0.1473,2763311,8289933,64272,56020,1980313,35449251,37505872,RENTING is financially better,2056621
"3 BHK Apartment in malad west, Mumbai",Mumbai,malad west,3,10003182.0,938.4,43754,100.03,0.1066,2500796,7502386,58166,49975,1965738,32081560,27768067,BUYING is financially better,4313493
"2 BHK Apartment in electronic city, Bangalore",Bangalore,electronic city,2,18393826.0,1060.2,87595,183.94,0.1735,4598456,13795370,106955,98483,2033421,58991492,45637765,BUYING is financially better,13353727
"3 BHK Apartment in hinjawadi phase 1, Mumbai",Mumbai,hinjawadi phase 1,3,8828460.0,756.1,31508,88.28,0.1168,2207115,6621345,51335,43229,1945529,28314067,29904537,RENTING is financially better,1590470
"3 BHK Apartment in electronic city, Bangalore",Bangalore,electronic city,3,7535394.0,790.3,34048,75.35,0.0953,1883848,5651546,43816,35871,1906811,24167029,20091388,BUYING is financially better,4075641
"4 BHK Apartment in dattwadi, Bangalore",Bangalore,dattwadi,4,10391634.0,1201.1,39458,103.92,0.0865,2597908,7793726,60425,52207,1972174,33327378,33398866,RENTING is financially better,71488
"4 BHK Apartment in dattwadi, Bangalore",Bangalore,dattwadi,4,16805366.0,1627.3,67749,168.05,0.1033,4201342,12604024,97719,89277,2025933,53897085,51022708,BUYING is financially better,2874377
"3 BHK Apartment in whitefield, Bangalore",Bangalore,whitefield,3,13584349.0,1516.8,49200,135.84,0.0896,3396087,10188262,78989,70633,2005629,43566848,45468383,RENTING is financially better,1901536
"3 BHK Apartment in hsr layout, Bangalore",Bangalore,hsr layout,3,4557543.0,1509.5,18331,45.58,0.0302,1139386,3418157,26501,19685,1635712,14616658,13869213,BUYING is financially better,747445
"2 BHK Apartment in shree siddhivinayak meera, Mumbai",Mumbai,shree siddhivinayak meera,2,13707970.0,1079.7,52594,137.08,0.127,3426992,10280978,79708,71348,2006409,43963317,43644853,BUYING is financially better,318464
"4 BHK Apartment in marathahalli, Bangalore",Bangalore,marathahalli,4,12981497.0,1276.7,55254,129.81,0.1017,3245374,9736123,75484,67145,2001302,41633420,37195329,BUYING is financially better,4438090
"3 BHK Apartment in atul nagar, Mumbai",Mumbai,atul nagar,3,15290420.0,1270.1,56971,152.9,0.1204,3822605,11467815,88910,80508,2016384,49038448,49969940,RENTING is financially better,931492
"2 BHK Apartment in bellandur, Bangalore",Bangalore,bellandur,2,19267633.0,842.0,79306,192.68,0.2288,4816908,14450725,112036,103553,2035959,61793909,57260131,BUYING is financially better,4533778
"2 BHK Apartment in midc, Bangalore",Bangalore,midc,2,4894002.0,1254.1,21633,48.94,0.039,1223500,3670502,28457,21416,1689936,15695727,13413305,BUYING is financially better,2282422
"2 BHK Apartment in kotwal wadi, Mumbai",Mumbai,kotwal wadi,2,10263101.0,755.5,38231,102.63,0.1358,2565775,7697326,59677,51469,1970045,32915155,33546893,RENTING is financially better,631738
"3 BHK Apartment in powai, Mumbai",Mumbai,powai,3,10076819.0,861.3,36032,100.77,0.117,2519205,7557614,58594,50398,1966958,32317724,34080908,RENTING is financially better,1763184
"3 BHK Apartment in rakshak nagar, Mumbai",Mumbai,rakshak nagar,3,9960364.0,806.0,36817,99.6,0.1236,2490091,7470273,57917,49729,1965029,31944237,32774729,RENTING is financially better,830493
"2 BHK Apartment in minakshi puram, Bangalore",Bangalore,minakshi puram,2,9685690.0,1483.0,46462,96.86,0.0653,2421422,7264268,56320,48151,1960478,31063320,23775817,BUYING is financially better,7287503
"3 BHK Apartment in whitefield, Bangalore",Bangalore,whitefield,3,10286850.0,1393.2,48985,102.87,0.0738,2571712,7715138,59815,51605,1970438,32991322,25525448,BUYING is financially better,7465874
"3 BHK Apartment in bellandur, Bangalore",Bangalore,bellandur,3,10818028.0,1312.2,42286,108.18,0.0824,2704507,8113521,62904,54663,1977753,34694881,33851269,BUYING is financially better,843612
"3 BHK Apartment in electronic city, Bangalore",Bangalore,electronic city,3,10472681.0,1338.7,44974,104.73,0.0782,2618170,7854511,60896,52673,1973517,33587307,29704364,BUYING is financially better,3882943
"4 BHK Apartment in andheri west, Mumbai",Mumbai,andheri west,4,15391646.0,1433.0,55764,153.92,0.1074,3847912,11543734,89498,81094,2017022,49363094,51503715,RENTING is financially better,2140621
"3 BHK Apartment in indiranagar, Bangalore",Bangalore,indiranagar,3,10399842.0,1308.3,39299,104.0,0.0795,2599960,7799882,60472,52254,1972310,33353702,33569653,RENTING is financially better,215951
"3 BHK Apartment in hinjawadi phase 1, Mumbai",Mumbai,hinjawadi phase 1,3,10896614.0,865.2,42687,108.97,0.1259,2724154,8172460,63361,55117,1978608,34946917,34025933,BUYING is financially better,920984
"3 BHK Apartment in laxmi nagar, Bangalore",Bangalore,laxmi nagar,3,2822196.0,906.1,11003,28.22,0.0311,705549,2116647,16410,11594,1155955,9051165,8852748,BUYING is financially better,198417
"2 BHK Apartment in meeta nagar, Mumbai",Mumbai,meeta nagar,2,16521423.0,1352.8,55387,165.21,0.1221,4130356,12391067,96068,87634,2024143,52986442,58678709,RENTING is financially better,5692268
"3 BHK Apartment in andheri west, Mumbai",Mumbai,andheri west,3,30398176.0,1308.5,118664,303.98,0.2323,7599544,22798632,176758,168160,2063485,97491069,95240364,BUYING is financially better,2250704
"3 BHK Apartment in koramangala, Bangalore",Bangalore,koramangala,3,2825668.0,912.9,10315,28.26,0.031,706417,2119251,16431,11609,1157156,9062300,9396364,RENTING is financially better,334063
"4 BHK Apartment in vishal nagar, Bangalore",Bangalore,vishal nagar,4,3755204.0,1346.4,13798,37.55,0.0279,938801,2816403,21836,15787,1451684,12043448,12419243,RENTING is financially better,375795
"4 BHK Apartment in powai, Mumbai",Mumbai,powai,4,4740742.0,1435.1,18915,47.41,0.033,1185186,3555556,27566,20623,1666429,15204202,14542781,BUYING is financially better,661421
"3 BHK Apartment in bandra west, Mumbai",Mumbai,bandra west,3,14306911.0,1312.5,56056,143.07,0.109,3576728,10730183,83191,74815,2010184,45884202,44667906,BUYING is financially better,1216295
"3 BHK Apartment in pandhari nagar, Bangalore",Bangalore,pandhari nagar,3,10047677.0,1361.3,45336,100.48,0.0738,2511919,7535758,58425,50231,1966475,32224261,26838049,BUYING is financially better,5386212
"3 BHK Apartment in marathahalli, Bangalore",Bangalore,marathahalli,3,12897701.0,1356.2,57932,128.98,0.0951,3224425,9673276,74997,66662,2000389,41364674,34650801,BUYING is financially better,6713873
"2 BHK Apartment in wadmukhwadi, Mumbai",Mumbai,wadmukhwadi,2,35752701.0,1608.3,128468,357.53,0.2223,8938175,26814526,207893,199278,2067621,114663756,120444240,RENTING is financially better,5780485
"3 BHK Apartment in electronic city, Bangalore",Bangalore,electronic city,3,8959775.0,820.6,32242,89.6,0.1092,2239944,6719831,52099,43980,1948450,28735212,30147841,RENTING is financially better,1412629
"3 BHK Apartment in tulaja bhawani nagar, Mumbai",Mumbai,tulaja bhawani nagar,3,18106932.0,1458.5,67530,181.07,0.1241,4526733,13580199,105287,96818,2032588,58071384,59125190,RENTING is financially better,1053806
"3 BHK Apartment in koramangala, Bangalore",Bangalore,koramangala,3,8208004.0,852.8,35274,82.08,0.0962,2052001,6156003,47727,39686,1930019,26324181,23261580,BUYING is financially better,3062601
"3 BHK Apartment in whitefield, Bangalore",Bangalore,whitefield,3,2916439.0,1001.9,10337,29.16,0.0291,729110,2187329,16958,12006,1188545,9353415,9933125,RENTING is financially better,579710
"3 BHK Apartment in chovisawadi, Bangalore",Bangalore,chovisawadi,3,6914464.0,969.1,33230,69.14,0.0713,1728616,5185848,40206,32383,1877480,22175623,16926488,BUYING is financially better,5249135
"2 BHK Apartment in mohan nagar co-op society, Bangalore",Bangalore,mohan nagar co-op society,2,7056236.0,825.7,31509,70.56,0.0855,1764059,5292177,41030,33176,1885093,22630305,19097803,BUYING is financially better,3532501
"2 BHK Apartment in laxmi vihar, Bangalore",Bangalore,laxmi vihar,2,6508975.0,778.9,26223,65.09,0.0836,1627244,4881731,37848,30130,1852419,20875165,19774953,BUYING is financially better,1100212
"3 BHK Apartment in koramangala, Bangalore",Bangalore,koramangala,3,3996468.0,1118.5,15203,39.96,0.0357,999117,2997351,23238,16915,1517738,12817214,12823415,RENTING is financially better,6201
"3 BHK Apartment in dattwadi, Bangalore",Bangalore,dattwadi,3,6625444.0,915.2,30676,66.25,0.0724,1656361,4969083,38525,30776,1859798,21248696,17103643,BUYING is financially better,4145054
"3 BHK Apartment in hsr layout, Bangalore",Bangalore,hsr layout,3,4069638.0,1281.0,15135,40.7,0.0318,1017410,3052228,23664,17265,1535770,13051880,13321199,RENTING is financially better,269319
"3 BHK Apartment in saint tukaram nagar, Bangalore",Bangalore,saint tukaram nagar,3,7460273.0,908.4,27962,74.6,0.0821,1865068,5595205,43380,35448,1903652,23926106,24254863,RENTING is financially better,328757
"2 BHK Apartment in kotwal wadi, Mumbai",Mumbai,kotwal wadi,2,15920963.0,1402.3,60051,159.21,0.1135,3980241,11940722,92576,84158,2020358,51060685,51475763,RENTING is financially better,415078
"4 BHK Apartment in yelahanka, Bangalore",Bangalore,yelahanka,4,10108694.0,1270.3,37616,101.09,0.0796,2527174,7581520,58779,50582,1967486,32419951,33072422,RENTING is financially better,652471
"3 BHK Apartment in eon free zone, Bangalore",Bangalore,eon free zone,3,8790339.0,1163.9,35154,87.9,0.0755,2197585,6592754,51114,43011,1944642,28191808,26903439,BUYING is financially better,1288369
"3 BHK Apartment in hinjawadi phase 1, Mumbai",Mumbai,hinjawadi phase 1,3,9336020.0,833.5,36464,93.36,0.112,2334005,7002015,54287,46142,1954684,29941881,29235906,BUYING is financially better,705975
"3 BHK Apartment in indiranagar, Bangalore",Bangalore,indiranagar,3,19928406.0,861.6,69370,199.28,0.2313,4982102,14946304,115879,107387,2037878,63913098,68834223,RENTING is financially better,4921125
"3 BHK Apartment in midc, Bangalore",Bangalore,midc,3,6358970.0,733.9,23754,63.59,0.0866,1589742,4769228,36976,29298,1842678,20394078,20735193,RENTING is financially better,341114
"2 BHK Apartment in bellagio, Bangalore",Bangalore,bellagio,2,10547192.0,1200.0,35205,105.47,0.0879,2636798,7910394,61329,53101,1974752,33826274,37576962,RENTING is financially better,3750689
"2 BHK Apartment in ram nagar, Bangalore",Bangalore,ram nagar,2,7082615.0,846.0,26493,70.83,0.0837,1770654,5311961,41184,33324,1886364,22714906,23067641,RENTING is financially better,352735
"3 BHK Apartment in udhyog nagar, Bangalore",Bangalore,udhyog nagar,3,5119139.0,742.6,24885,51.19,0.0689,1279785,3839354,29766,22596,1721019,16417772,12316590,BUYING is financially better,4101182
"3 BHK Apartment in midc, Bangalore",Bangalore,midc,3,13409610.0,1649.6,54609,134.1,0.0813,3352402,10057208,77973,69621,2004528,43006436,40295502,BUYING is financially better,2710934
"2 BHK Apartment in kotwal wadi, Mumbai",Mumbai,kotwal wadi,2,5395047.0,1358.5,21746,53.95,0.0397,1348762,4046285,31371,24061,1754270,17302647,16382573,BUYING is financially better,920074
"4 BHK Apartment in alkapuri society, Mumbai",Mumbai,alkapuri society,4,14342439.0,1467.9,53877,143.42,0.0977,3585610,10756829,83398,75021,2010408,45998145,46539200,RENTING is financially better,541055
"4 BHK Apartment in malad west, Mumbai",Mumbai,malad west,4,47603422.0,1592.4,180793,476.03,0.2989,11900856,35702566,276802,268148,2076777,152670623,152968957,RENTING is financially better,298334
"2 BHK Apartment in andheri east, Mumbai",Mumbai,andheri east,2,4992424.0,1228.9,17208,49.92,0.0406,1248106,3744318,29030,21931,1703666,16011380,17373631,RENTING is financially better,1362251
"3 BHK Apartment in hsr layout, Bangalore",Bangalore,hsr layout,3,22652225.0,1495.2,97209,226.52,0.1515,5663056,16989169,131717,123193,2045789,72648754,64302392,BUYING is financially better,8346362
"2 BHK Apartment in dattwadi, Mumbai",Mumbai,dattwadi,2,11119479.0,790.0,46490,111.19,0.1408,2779870,8339609,64657,56403,1981034,35661676,32496953,BUYING is financially better,3164723
"3 BHK Apartment in kotwal nagar, Bangalore",Bangalore,kotwal nagar,3,8118764.0,723.9,29608,81.19,0.1122,2029691,6089073,47209,39177,1927464,26037976,27020031,RENTING is financially better,982055
"3 BHK Apartment in powai, Mumbai",Mumbai,powai,3,4713965.0,1017.4,15703,47.14,0.0463,1178491,3535474,27410,20485,1662185,15118324,16818603,RENTING is financially better,1700279
"2 BHK Apartment in shree siddhivinayak meera, Mumbai",Mumbai,shree siddhivinayak meera,2,14160255.0,1303.8,64079,141.6,0.1086,3540064,10620191,82338,73966,2009260,45413856,37681269,BUYING is financially better,7732587
"2 BHK Apartment in siddharth nagar, Mumbai",Mumbai,siddharth nagar,2,13740784.0,940.7,52008,137.41,0.1461,3435196,10305588,79899,71538,2006615,44068556,44289924,RENTING is financially better,221368
"3 BHK Apartment in electronic city, Bangalore",Bangalore,electronic city,3,5438972.0,604.7,25131,54.39,0.0899,1359743,4079229,31626,24295,1759393,17443520,14079938,BUYING is financially better,3363582
"3 BHK Apartment in hsr layout, Bangalore",Bangalore,hsr layout,3,34507989.0,1494.7,127894,345.08,0.2309,8626997,25880992,200655,192044,2066660,110671796,113290600,RENTING is financially better,2618805
"2 BHK Apartment in hinjawadi phase 1, Mumbai",Mumbai,hinjawadi phase 1,2,3763051.0,773.3,15032,37.63,0.0487,940763,2822288,21881,15823,1453965,12068614,11530028,BUYING is financially better,538586
"3 BHK Apartment in laxmi nagar, Bangalore",Bangalore,laxmi nagar,3,8928198.0,807.8,32651,89.28,0.1105,2232050,6696148,51915,43799,1947851,28633941,29644722,RENTING is financially better,1010781
"3 BHK Apartment in borhade wadi, Mumbai",Mumbai,borhade wadi,3,8759251.0,751.8,33333,87.59,0.1165,2189813,6569438,50933,42833,1943918,28092105,28096693,RENTING is financially better,4589
"3 BHK Apartment in bhumkar nagar, Mumbai",Mumbai,bhumkar nagar,3,15623459.0,1350.6,49446,156.23,0.1157,3905865,11717594,90846,82436,2018483,50106550,57714866,RENTING is financially better,7608316
"3 BHK Apartment in hsr layout, Bangalore",Bangalore,hsr layout,3,5376619.0,663.9,20792,53.77,0.081,1344155,4032464,31264,23963,1752120,17243546,16994648,BUYING is financially better,248898
"3 BHK Apartment in dattawadi, Bangalore",Bangalore,dattawadi,3,12706012.0,901.9,49956,127.06,0.1409,3176503,9529509,73882,65556,1998303,40749902,39538721,BUYING is financially better,1211181
"4 BHK Apartment in mayur colony, Mumbai",Mumbai,mayur colony,4,13368758.0,1262.7,50544,133.69,0.1059,3342190,10026568,77736,69385,2004270,42875418,43133245,RENTING is financially better,257827
"2 BHK Apartment in prabhag 36, Bangalore",Bangalore,prabhag 36,2,9125674.0,1209.3,39696,91.26,0.0755,2281418,6844256,53063,44933,1951199,29267273,25499060,BUYING is financially better,3768213
"3 BHK Apartment in tarawade vasti, Mumbai",Mumbai,tarawade vasti,3,14986915.0,1242.5,67534,149.87,0.1206,3746729,11240186,87145,78751,2014471,48065067,40098133,BUYING is financially better,7966933
"2 BHK Apartment in dattwadi, Bangalore",Bangalore,dattwadi,2,5724769.0,715.7,22842,57.25,0.08,1431192,4293577,33288,25835,1788741,18360110,17560754,BUYING is financially better,799355
"4 BHK Apartment in goregaon east, Mumbai",Mumbai,goregaon east,4,4535897.0,1258.8,18448,45.36,0.036,1133974,3401923,26375,19575,1632004,14547236,13648382,BUYING is financially better,898854
"2 BHK Apartment in dattwadi, Mumbai",Mumbai,dattwadi,2,9585400.0,897.5,32541,95.85,0.1068,2396350,7189050,55737,47575,1958816,30741676,33735482,RENTING is financially better,2993805
"2 BHK Apartment in koramangala, Bangalore",Bangalore,koramangala,2,4934562.0,688.0,22337,49.35,0.0717,1233640,3700922,28693,21628,1695743,15825809,13126020,BUYING is financially better,2699788
"3 BHK Apartment in whitefield, Bangalore",Bangalore,whitefield,3,17866022.0,893.1,61110,178.66,0.2,4466506,13399516,103886,95420,2031888,57298753,62531411,RENTING is financially better,5232658
"3 BHK Apartment in hsr layout, Bangalore",Bangalore,hsr layout,3,9952112.0,1099.7,41455,99.52,0.0905,2488028,7464084,57869,49682,1964892,31917771,29202461,BUYING is financially better,2715311
"3 BHK Apartment in goregaon west, Mumbai",Mumbai,goregaon west,3,13407623.0,1251.6,53629,134.08,0.1071,3351906,10055717,77962,69610,2004515,43000063,41027568,BUYING is financially better,1972495
"3 BHK Apartment in kotwal nagar, Bangalore",Bangalore,kotwal nagar,3,6467717.0,835.2,28404,64.68,0.0774,1616929,4850788,37608,29901,1849804,20742845,17867203,BUYING is financially better,2875642
"5 BHK Apartment in bellandur, Bangalore",Bangalore,bellandur,5,12863635.0,1505.8,52889,128.64,0.0854,3215909,9647726,74799,66465,2000019,41255420,38272584,BUYING is financially better,2982836
"4 BHK Apartment in shankar kalat nagar, Mumbai",Mumbai,shankar kalat nagar,4,16367813.0,1611.5,71634,163.68,0.1016,4091953,12275860,95175,86745,2023175,52493794,45404621,BUYING is financially better,7089173
"2 BHK Apartment in electronic city, Bangalore",Bangalore,electronic city,2,16041031.0,1622.2,53365,160.41,0.0989,4010258,12030773,93274,84853,2021115,51445760,57285007,RENTING is financially better,5839247
"3 BHK Apartment in hinjawadi phase 1, Mumbai",Mumbai,hinjawadi phase 1,3,18586782.0,865.0,80756,185.87,0.2149,4646696,13940086,108077,99602,2033981,59610328,52007620,BUYING is financially better,7602708
"3 BHK Apartment in clover park, Mumbai",Mumbai,clover park,3,10280092.0,869.6,42505,102.8,0.1182,2570023,7710069,59776,51566,1970326,32969648,30404952,BUYING is financially better,2564696
"3 BHK Apartment in tarawade vasti, Mumbai",Mumbai,tarawade vasti,3,13893172.0,1306.7,54819,138.93,0.1063,3473293,10419879,80785,72420,2007576,44557285,43084510,BUYING is financially better,1472775
"2 BHK Apartment in kuthwad colony, Mumbai",Mumbai,kuthwad colony,2,6736589.0,675.1,26794,67.37,0.0998,1684147,5052442,39172,31393,1866841,21605154,20729209,BUYING is financially better,875945
"2 BHK Apartment in dattwadi, Mumbai",Mumbai,dattwadi,2,8779831.0,797.6,33253,87.8,0.1101,2194958,6584873,51052,42951,1944397,28158107,28282927,RENTING is financially better,124820
"3 BHK Apartment in indiranagar, Bangalore",Bangalore,indiranagar,3,10772410.0,1239.7,43845,107.72,0.0869,2693102,8079308,62639,54400,1977256,34548578,32389262,BUYING is financially better,2159317
"4 BHK Apartment in rakshak nagar, Bangalore",Bangalore,rakshak nagar,4,20820524.0,1217.4,77924,208.21,0.171,5205131,15615393,121066,112564,2040469,66774241,67778190,RENTING is financially better,1003949
"4 BHK Apartment in ram nagar, Bangalore",Bangalore,ram nagar,4,10164320.0,1363.5,39287,101.64,0.0745,2541080,7623240,59103,50901,1968408,32598351,32142691,BUYING is financially better,455660
"3 BHK Apartment in bellagio, Mumbai",Mumbai,bellagio,3,21959911.0,823.1,90059,219.6,0.2668,5489978,16469933,127691,119175,2043778,70428410,65510558,BUYING is financially better,4917852
"3 BHK Apartment in hinjawadi phase 1, Mumbai",Mumbai,hinjawadi phase 1,3,10077039.0,936.5,43459,100.77,0.1076,2519260,7557779,58595,50400,1966962,32318429,28442417,BUYING is financially better,3876013
"2 BHK Apartment in midc, Bangalore",Bangalore,midc,2,11999439.0,1398.5,42474,119.99,0.0858,2999860,8999579,69774,61479,1990612,38483826,40912054,RENTING is financially better,2428227
"1 BHK Apartment in swaraj nagari, Mumbai",Mumbai,swaraj nagari,1,13403031.0,1059.3,46051,134.03,0.1265,3350758,10052273,77935,69583,2004486,42985336,46754066,RENTING is financially better,3768730
"4 BHK Apartment in jadhav nagar, Mumbai",Mumbai,jadhav nagar,4,5263431.0,1397.2,22406,52.63,0.0377,1315858,3947573,30605,23360,1738918,16880536,15078873,BUYING is financially better,1801664
"3 BHK Apartment in bellandur, Bangalore",Bangalore,bellandur,3,2880880.0,729.4,10431,28.81,0.0395,720220,2160660,16752,11851,1176249,9239372,9644927,RENTING is financially better,405554
"4 BHK Apartment in chovisawadi, Mumbai",Mumbai,chovisawadi,4,16474409.0,1491.6,59241,164.74,0.1104,4118602,12355807,95794,87362,2023847,52835661,55465438,RENTING is financially better,2629777
"4 BHK Apartment in electronic city, Bangalore",Bangalore,electronic city,4,27246306.0,1145.1,92444,272.46,0.2379,6811576,20434730,158430,149851,2059131,87382594,95932775,RENTING is financially better,8550181
"2 BHK Apartment in ram nagar, Bangalore",Bangalore,ram nagar,2,8042165.0,1114.6,33502,80.42,0.0722,2010541,6031624,46763,38741,1925271,25792313,23595993,BUYING is financially better,2196319
"3 BHK Apartment in yelahanka, Bangalore",Bangalore,yelahanka,3,12629074.0,1310.0,50606,126.29,0.0964,3157268,9471806,73435,65112,1997466,40503151,38576008,BUYING is financially better,1927143
"3 BHK Apartment in sagar co-operative housing society, Bangalore",Bangalore,sagar co-operative housing society,3,14880270.0,1601.0,47955,148.8,0.0929,3720068,11160202,86525,78134,2013798,47723042,54315558,RENTING is financially better,6592516
"3 BHK Apartment in saint tukaram nagar, Bangalore",Bangalore,saint tukaram nagar,3,11103470.0,744.9,44817,111.03,0.1491,2775868,8327602,64564,56310,1980860,35610333,33669763,BUYING is financially better,1940569
"4 BHK Apartment in kotwal nagar, Bangalore",Bangalore,kotwal nagar,4,4526882.0,1612.5,19174,45.27,0.0281,1131720,3395162,26323,19529,1630460,14518324,13042112,BUYING is financially better,1476211
"3 BHK Apartment in andheri east, Mumbai",Mumbai,andheri east,3,31858318.0,1664.7,124877,318.58,0.1914,7964580,23893738,185248,176645,2064613,102173942,99425488,BUYING is financially better,2748453
"3 BHK Apartment in malad west, Mumbai",Mumbai,malad west,3,16437456.0,736.4,58602,164.37,0.2232,4109364,12328092,95580,87148,2023614,52717148,55725357,RENTING is financially better,3008209
"4 BHK Apartment in goregaon east, Mumbai",Mumbai,goregaon east,4,16164525.0,1511.5,62102,161.65,0.1069,4041131,12123394,93993,85568,2021894,51841822,51403395,BUYING is financially better,438427
"3 BHK Apartment in goregaon east, Mumbai",Mumbai,goregaon east,3,11376141.0,1068.8,43822,113.76,0.1064,2844035,8532106,66149,57883,1983828,36484825,36087922,BUYING is financially better,396903
"3 BHK Apartment in wadmukhwadi, Mumbai",Mumbai,wadmukhwadi,3,14829389.0,1187.6,63394,148.29,0.1249,3707347,11122042,86229,77840,2013478,47559859,42281420,BUYING is financially better,5278440
"3 BHK Apartment in indiranagar, Bangalore",Bangalore,indiranagar,3,13917278.0,1575.3,54560,139.17,0.0883,3479320,10437958,80925,72560,2007728,44634596,43428171,BUYING is financially better,1206425
"3 BHK Apartment in indiranagar, Bangalore",Bangalore,indiranagar,3,12246087.0,1475.4,49330,122.46,0.083,3061522,9184565,71208,62902,1993297,39274860,37209735,BUYING is financially better,2065125
"4 BHK Apartment in mohan nagar co-op society, Mumbai",Mumbai,mohan nagar co-op society,4,13047313.0,1250.0,55622,130.47,0.1044,3261828,9785485,75867,67525,2002018,41844500,37317189,BUYING is financially better,4527312
"2 BHK Apartment in dhayari phata, Bangalore",Bangalore,dhayari phata,2,29935467.0,1370.0,114751,299.35,0.2185,7483867,22451600,174067,165471,2063127,96007098,95390449,BUYING is financially better,616650
"3 BHK Apartment in hinjawadi phase 1, Mumbai",Mumbai,hinjawadi phase 1,3,10250426.0,874.8,35367,102.5,0.1172,2562606,7687820,59604,51396,1969835,32874505,35644441,RENTING is financially better,2769936
