City,Title,Location,Bedrooms,Price (Lakhs),Area (sqft),Price per sqft,Rent (INR/month),Property Type,Posted By,Furnishing,Possession
Bangalore,1 BHK Apartment in Hebbal,Hebbal,1 BHK,105.89,1447,7317.9,23384,Apartment,Owner,Unfurnished,Ready to Move
Bangalore,1 BHK Apartment in Koramangala,Koramangala,1 BHK,107.44,1540,6976.62,23657,Apartment,Dealer,Unfurnished,Under Construction
Bangalore,1 BHK Apartment in Electronic City,Electronic City,1 BHK,108.8,1551,7014.83,19778,Apartment,Builder,Fully Furnished,Ready to Move
Bangalore,1 BHK Apartment in Marathahalli,Marathahalli,1 BHK,110.04,1467,7501.02,22322,Apartment,Builder,Semi-Furnished,Under Construction
Bangalore,2 BHK Apartment in Marathahalli,Marathahalli,2 BHK,111.03,1682,6601.07,25283,Apartment,Dealer,Semi-Furnished,Under Construction
Bangalore,2 BHK Apartment in Hebbal,Hebbal,2 BHK,111.37,1715,6493.88,26265,Apartment,Owner,Semi-Furnished,Ready to Move
Bangalore,1 BHK Apartment in Whitefield,Whitefield,1 BHK,112.87,1510,7474.83,23035,Apartment,Builder,Unfurnished,Ready to Move
Bangalore,2 BHK Apartment in JP Nagar,JP Nagar,2 BHK,114.08,1697,6722.45,25989,Apartment,Owner,Fully Furnished,Ready to Move
Bangalore,2 BHK Apartment in Jayanagar,Jayanagar,2 BHK,114.62,1674,6847.07,25415,Apartment,Owner,Unfurnished,Under Construction
Bangalore,2 BHK Apartment in Sarjapur Road,Sarjapur Road,2 BHK,115.24,1635,7048.32,23243,Apartment,Owner,Unfurnished,Ready to Move
Bangalore,2 BHK Apartment in Marathahalli,Marathahalli,2 BHK,115.24,1252,9204.47,24820,Apartment,Dealer,Fully Furnished,Under Construction
Bangalore,1 BHK Apartment in Banashankari,Banashankari,1 BHK,117.69,1513,7778.59,24808,Apartment,Builder,Semi-Furnished,Under Construction
Bangalore,1 BHK Apartment in JP Nagar,JP Nagar,1 BHK,117.74,1499,7854.57,24496,Apartment,Owner,Fully Furnished,Under Construction
Bangalore,2 BHK Apartment in Electronic City,Electronic City,2 BHK,118.43,1691,7003.55,27157,Apartment,Owner,Fully Furnished,Ready to Move
Bangalore,1 BHK Apartment in Indiranagar,Indiranagar,1 BHK,118.58,1555,7625.72,27789,Apartment,Dealer,Semi-Furnished,Ready to Move
Bangalore,2 BHK Apartment in Yelahanka,Yelahanka,2 BHK,120.7,1233,9789.13,23568,Apartment,Dealer,Unfurnished,Under Construction
Bangalore,2 BHK Apartment in Koramangala,Koramangala,2 BHK,121.01,1628,7433.05,25549,Apartment,Builder,Unfurnished,Ready to Move
Bangalore,1 BHK Apartment in Koramangala,Koramangala,1 BHK,122.94,1555,7906.11,26964,Apartment,Dealer,Fully Furnished,Under Construction
Bangalore,1 BHK Apartment in HSR Layout,HSR Layout,1 BHK,123.29,668,18456.59,24485,Apartment,Builder,Unfurnished,Ready to Move
Bangalore,1 BHK Apartment in Marathahalli,Marathahalli,1 BHK,123.31,1444,8539.47,24384,Apartment,Owner,Semi-Furnished,Under Construction
Bangalore,1 BHK Apartment in Electronic City,Electronic City,1 BHK,124.8,674,18516.32,25971,Apartment,Owner,Semi-Furnished,Ready to Move
Bangalore,2 BHK Apartment in Indiranagar,Indiranagar,2 BHK,125.38,1683,7449.79,24850,Apartment,Builder,Semi-Furnished,Under Construction
Bangalore,2 BHK Apartment in Banashankari,Banashankari,2 BHK,126.26,1228,10281.76,24294,Apartment,Builder,Fully Furnished,Ready to Move
Bangalore,3 BHK Apartment in Jayanagar,Jayanagar,3 BHK,126.45,1088,11622.24,28118,Apartment,Dealer,Semi-Furnished,Ready to Move
Bangalore,1 BHK Apartment in HSR Layout,HSR Layout,1 BHK,127.15,1437,8848.3,27187,Apartment,Builder,Semi-Furnished,Ready to Move
Bangalore,2 BHK Apartment in Bellandur,Bellandur,2 BHK,127.2,1749,7272.73,26841,Apartment,Owner,Unfurnished,Ready to Move
Bangalore,1 BHK Apartment in Indiranagar,Indiranagar,1 BHK,127.5,646,19736.84,29671,Apartment,Dealer,Unfurnished,Ready to Move
Bangalore,2 BHK Apartment in Banashankari,Banashankari,2 BHK,127.66,1626,7851.17,24626,Apartment,Owner,Semi-Furnished,Under Construction
Bangalore,2 BHK Apartment in Sarjapur Road,Sarjapur Road,2 BHK,127.89,1173,10902.81,28144,Apartment,Owner,Unfurnished,Under Construction
Bangalore,1 BHK Apartment in Bellandur,Bellandur,1 BHK,128.13,683,18759.88,28108,Apartment,Builder,Semi-Furnished,Ready to Move
Bangalore,2 BHK Apartment in Hebbal,Hebbal,2 BHK,128.28,1226,10463.3,24887,Apartment,Builder,Semi-Furnished,Ready to Move
Bangalore,1 BHK Apartment in Marathahalli,Marathahalli,1 BHK,128.51,695,18490.65,25193,Apartment,Builder,Fully Furnished,Under Construction
Bangalore,1 BHK Apartment in Whitefield,Whitefield,1 BHK,128.53,1481,8678.6,29216,Apartment,Owner,Semi-Furnished,Under Construction
Bangalore,3 BHK Apartment in Malleshwaram,Malleshwaram,3 BHK,128.78,1139,11306.41,27787,Apartment,Owner,Unfurnished,Ready to Move
Bangalore,1 BHK Apartment in Jayanagar,Jayanagar,1 BHK,129.31,1461,8850.79,24690,Apartment,Builder,Semi-Furnished,Under Construction
Bangalore,2 BHK Apartment in Bellandur,Bellandur,2 BHK,129.45,1226,10558.73,23666,Apartment,Owner,Unfurnished,Under Construction
Bangalore,1 BHK Apartment in Koramangala,Koramangala,1 BHK,130.93,692,18920.52,29109,Apartment,Builder,Semi-Furnished,Under Construction
Bangalore,2 BHK Apartment in Indiranagar,Indiranagar,2 BHK,132.76,1191,11146.94,27289,Apartment,Dealer,Semi-Furnished,Under Construction
Bangalore,1 BHK Apartment in Electronic City,Electronic City,1 BHK,132.98,1436,9260.45,29223,Apartment,Builder,Semi-Furnished,Under Construction
Bangalore,3 BHK Apartment in Hebbal,Hebbal,3 BHK,133.4,1116,11953.41,27579,Apartment,Owner,Semi-Furnished,Ready to Move
Bangalore,1 BHK Apartment in JP Nagar,JP Nagar,1 BHK,133.51,675,19779.26,28364,Apartment,Owner,Semi-Furnished,Under Construction
Bangalore,1 BHK Apartment in Jayanagar,Jayanagar,1 BHK,133.72,649,20604.01,28648,Apartment,Dealer,Fully Furnished,Ready to Move
Bangalore,3 BHK Apartment in Sarjapur Road,Sarjapur Road,3 BHK,133.79,1123,11913.62,28940,Apartment,Dealer,Semi-Furnished,Ready to Move
Bangalore,1 BHK Apartment in Banashankari,Banashankari,1 BHK,134.23,645,20810.85,25407,Apartment,Dealer,Semi-Furnished,Under Construction
Bangalore,3 BHK Apartment in BTM Layout,BTM Layout,3 BHK,134.65,1120,12022.32,28123,Apartment,Dealer,Fully Furnished,Under Construction
Bangalore,2 BHK Apartment in Electronic City,Electronic City,2 BHK,135.22,1214,11138.39,24079,Apartment,Dealer,Unfurnished,Ready to Move
Bangalore,2 BHK Apartment in Jayanagar,Jayanagar,2 BHK,135.65,1288,10531.83,27388,Apartment,Owner,Semi-Furnished,Ready to Move
Bangalore,2 BHK Apartment in JP Nagar,JP Nagar,2 BHK,136.04,1250,10883.2,24339,Apartment,Dealer,Semi-Furnished,Under Construction
Bangalore,1 BHK Apartment in Hebbal,Hebbal,1 BHK,137.18,1576,8704.31,25698,Apartment,Dealer,Semi-Furnished,Under Construction
Bangalore,1 BHK Apartment in Hebbal,Hebbal,1 BHK,137.9,701,19671.9,27287,Apartment,Owner,Semi-Furnished,Ready to Move
Bangalore,2 BHK Apartment in Malleshwaram,Malleshwaram,2 BHK,140.38,1247,11257.42,29921,Apartment,Dealer,Semi-Furnished,Under Construction
Bangalore,5 BHK Apartment in Hennur,Hennur,5 BHK,140.78,676,20825.44,29914,Apartment,Owner,Semi-Furnished,Under Construction
Bangalore,2 BHK Apartment in BTM Layout,BTM Layout,2 BHK,142.07,1204,11799.83,32482,Apartment,Builder,Fully Furnished,Under Construction
Bangalore,2 BHK Apartment in Hennur,Hennur,2 BHK,143.07,1251,11436.45,32139,Apartment,Dealer,Unfurnished,Under Construction
Bangalore,2 BHK Apartment in Whitefield,Whitefield,2 BHK,143.49,1175,12211.91,29069,Apartment,Dealer,Semi-Furnished,Ready to Move
Bangalore,2 BHK Apartment in Sarjapur Road,Sarjapur Road,2 BHK,144.15,1184,12174.83,30071,Apartment,Dealer,Semi-Furnished,Under Construction
Bangalore,3 BHK Apartment in JP Nagar,JP Nagar,3 BHK,144.16,1100,13105.45,29048,Apartment,Builder,Fully Furnished,Ready to Move
Bangalore,3 BHK Apartment in Kasavanahalli,Kasavanahalli,3 BHK,146.2,1201,12173.19,30072,Apartment,Owner,Fully Furnished,Under Construction
Bangalore,3 BHK Apartment in Banashankari,Banashankari,3 BHK,146.25,1125,13000,26925,Apartment,Dealer,Semi-Furnished,Ready to Move
Bangalore,2 BHK Apartment in Ramamurthy Nagar,Ramamurthy Nagar,2 BHK,147.44,1174,12558.77,31279,Apartment,Builder,Fully Furnished,Under Construction
Bangalore,3 BHK Apartment in Ramamurthy Nagar,Ramamurthy Nagar,3 BHK,147.91,1092,13544.87,36483,Apartment,Builder,Unfurnished,Under Construction
Bangalore,5 BHK Apartment in Marathahalli,Marathahalli,5 BHK,149.1,677,22023.63,29689,Apartment,Builder,Unfurnished,Ready to Move
Bangalore,3 BHK Apartment in Hoodi,Hoodi,3 BHK,149.4,1148,13013.94,31302,Apartment,Builder,Fully Furnished,Ready to Move
Bangalore,2 BHK Apartment in Kasavanahalli,Kasavanahalli,2 BHK,149.48,1250,11958.4,28701,Apartment,Dealer,Unfurnished,Ready to Move
Bangalore,5 BHK Apartment in Ramamurthy Nagar,Ramamurthy Nagar,5 BHK,149.6,665,22496.24,27748,Apartment,Dealer,Semi-Furnished,Under Construction
Bangalore,5 BHK Apartment in Malleshwaram,Malleshwaram,5 BHK,150.63,649,23209.55,31325,Apartment,Dealer,Semi-Furnished,Under Construction
Bangalore,5 BHK Apartment in Kasavanahalli,Kasavanahalli,5 BHK,150.72,648,23259.26,32952,Apartment,Builder,Unfurnished,Ready to Move
Bangalore,3 BHK Apartment in Bommanahalli,Bommanahalli,3 BHK,151.25,1179,12828.67,32006,Apartment,Dealer,Fully Furnished,Ready to Move
Bangalore,2 BHK Apartment in Hoodi,Hoodi,2 BHK,152.04,1269,11981.09,33845,Apartment,Dealer,Fully Furnished,Ready to Move
Bangalore,3 BHK Apartment in Yelahanka,Yelahanka,3 BHK,152.32,1137,13396.66,26441,Apartment,Owner,Fully Furnished,Ready to Move
Bangalore,3 BHK Apartment in Bellandur,Bellandur,3 BHK,152.98,1095,13970.78,29556,Apartment,Dealer,Unfurnished,Ready to Move
Bangalore,3 BHK Apartment in Marathahalli,Marathahalli,3 BHK,153.1,1196,12801,28744,Apartment,Dealer,Unfurnished,Ready to Move
Bangalore,3 BHK Apartment in Koramangala,Koramangala,3 BHK,153.67,1186,12957,30829,Apartment,Dealer,Semi-Furnished,Ready to Move
Bangalore,3 BHK Apartment in BTM Layout,BTM Layout,3 BHK,153.84,1100,13985.45,30339,Apartment,Builder,Fully Furnished,Ready to Move
Bangalore,5 BHK Apartment in BTM Layout,BTM Layout,5 BHK,154.53,707,21857.14,32003,Apartment,Builder,Unfurnished,Ready to Move
Bangalore,5 BHK Apartment in Yelahanka,Yelahanka,5 BHK,154.57,668,23139.22,29436,Apartment,Dealer,Fully Furnished,Ready to Move
Bangalore,5 BHK Apartment in Hoodi,Hoodi,5 BHK,154.66,685,22578.1,31899,Apartment,Builder,Fully Furnished,Ready to Move
Bangalore,5 BHK Apartment in Sarjapur Road,Sarjapur Road,5 BHK,155.91,698,22336.68,27704,Apartment,Builder,Semi-Furnished,Ready to Move
Bangalore,5 BHK Apartment in Bellandur,Bellandur,5 BHK,156.5,680,23014.71,27226,Apartment,Owner,Semi-Furnished,Ready to Move
Bangalore,3 BHK Apartment in HSR Layout,HSR Layout,3 BHK,157.72,1103,14299.18,35569,Apartment,Builder,Semi-Furnished,Ready to Move
Bangalore,2 BHK Apartment in Bommanahalli,Bommanahalli,2 BHK,158.69,1212,13093.23,31891,Apartment,Owner,Unfurnished,Ready to Move
Bangalore,2 BHK Apartment in Yelahanka,Yelahanka,2 BHK,162.02,1252,12940.89,32141,Apartment,Builder,Semi-Furnished,Under Construction
Bangalore,3 BHK Apartment in Malleshwaram,Malleshwaram,3 BHK,166.7,1167,14284.49,34223,Apartment,Owner,Unfurnished,Ready to Move
Bangalore,3 BHK Apartment in HSR Layout,HSR Layout,3 BHK,169.97,1739,9774.01,37371,Apartment,Dealer,Semi-Furnished,Under Construction
Bangalore,2 BHK Apartment in Koramangala,Koramangala,2 BHK,170.06,1277,13317.15,35089,Apartment,Builder,Unfurnished,Under Construction
Bangalore,3 BHK Apartment in Indiranagar,Indiranagar,3 BHK,170.15,1619,10509.57,40537,Apartment,Dealer,Semi-Furnished,Under Construction
Bangalore,3 BHK Apartment in Hennur,Hennur,3 BHK,171.98,1098,15663.02,35117,Apartment,Dealer,Semi-Furnished,Under Construction
Bangalore,3 BHK Apartment in Whitefield,Whitefield,3 BHK,173.41,1149,15092.25,36438,Apartment,Dealer,Unfurnished,Under Construction
Bangalore,2 BHK Apartment in Jayanagar,Jayanagar,2 BHK,174.6,1186,14721.75,35829,Apartment,Owner,Fully Furnished,Under Construction
Bangalore,3 BHK Apartment in Whitefield,Whitefield,3 BHK,175.48,1612,10885.86,33870,Apartment,Dealer,Semi-Furnished,Under Construction
Bangalore,2 BHK Apartment in Bommanahalli,Bommanahalli,2 BHK,176.11,1223,14399.84,39282,Apartment,Dealer,Semi-Furnished,Ready to Move
Bangalore,3 BHK Apartment in Bommanahalli,Bommanahalli,3 BHK,176.92,1628,10867.32,35045,Apartment,Builder,Fully Furnished,Under Construction
Bangalore,2 BHK Apartment in JP Nagar,JP Nagar,2 BHK,177,1561,11338.89,40658,Apartment,Owner,Semi-Furnished,Ready to Move
Bangalore,2 BHK Apartment in Electronic City,Electronic City,2 BHK,178,1179,15097.54,34777,Apartment,Owner,Semi-Furnished,Under Construction
Bangalore,2 BHK Apartment in Banashankari,Banashankari,2 BHK,179.25,1461,12268.99,38276,Apartment,Builder,Semi-Furnished,Ready to Move
Bangalore,3 BHK Apartment in Electronic City,Electronic City,3 BHK,181.1,1655,10942.6,35458,Apartment,Owner,Unfurnished,Ready to Move
Bangalore,3 BHK Apartment in Marathahalli,Marathahalli,3 BHK,182.24,1551,11749.84,41082,Apartment,Dealer,Semi-Furnished,Under Construction
Bangalore,2 BHK Apartment in Marathahalli,Marathahalli,2 BHK,182.62,1491,12248.16,39341,Apartment,Dealer,Semi-Furnished,Under Construction
Bangalore,3 BHK Apartment in Ramamurthy Nagar,Ramamurthy Nagar,3 BHK,182.92,1656,11045.89,41239,Apartment,Owner,Fully Furnished,Under Construction
Bangalore,2 BHK Apartment in HSR Layout,HSR Layout,2 BHK,184.34,1230,14986.99,41129,Apartment,Builder,Unfurnished,Ready to Move
Bangalore,2 BHK Apartment in Bellandur,Bellandur,2 BHK,185.58,1489,12463.4,43224,Apartment,Owner,Fully Furnished,Under Construction
Bangalore,2 BHK Apartment in Indiranagar,Indiranagar,2 BHK,185.8,1492,12453.08,43450,Apartment,Owner,Fully Furnished,Under Construction
Bangalore,3 BHK Apartment in JP Nagar,JP Nagar,3 BHK,186.01,1572,11832.7,44453,Apartment,Dealer,Unfurnished,Ready to Move
Bangalore,3 BHK Apartment in Koramangala,Koramangala,3 BHK,186.93,1755,10651.28,36196,Apartment,Builder,Semi-Furnished,Ready to Move
Bangalore,2 BHK Apartment in Whitefield,Whitefield,2 BHK,189.05,1198,15780.47,37117,Apartment,Owner,Semi-Furnished,Ready to Move
Bangalore,1 BHK Apartment in Ramamurthy Nagar,Ramamurthy Nagar,1 BHK,189.45,1376,13768.17,42688,Apartment,Dealer,Unfurnished,Under Construction
Bangalore,3 BHK Apartment in Jayanagar,Jayanagar,3 BHK,190.91,1632,11697.92,35162,Apartment,Owner,Unfurnished,Under Construction
Bangalore,2 BHK Apartment in Hebbal,Hebbal,2 BHK,191.82,1512,12686.51,40594,Apartment,Builder,Semi-Furnished,Under Construction
Bangalore,3 BHK Apartment in Banashankari,Banashankari,3 BHK,192.61,1529,12597.12,39680,Apartment,Builder,Fully Furnished,Under Construction
Bangalore,3 BHK Apartment in Jayanagar,Jayanagar,3 BHK,192.76,1526,12631.72,45532,Apartment,Owner,Fully Furnished,Under Construction
Bangalore,1 BHK Apartment in Bommanahalli,Bommanahalli,1 BHK,192.81,1454,13260.66,45415,Apartment,Owner,Fully Furnished,Under Construction
Bangalore,2 BHK Apartment in Jayanagar,Jayanagar,2 BHK,193.19,1464,13196.04,38171,Apartment,Builder,Fully Furnished,Ready to Move
Bangalore,3 BHK Apartment in JP Nagar,JP Nagar,3 BHK,194.05,1675,11585.07,35808,Apartment,Owner,Unfurnished,Ready to Move
Bangalore,2 BHK Apartment in Banashankari,Banashankari,2 BHK,196.69,1262,15585.58,38469,Apartment,Owner,Fully Furnished,Under Construction
Bangalore,3 BHK Apartment in Hebbal,Hebbal,3 BHK,197.11,1676,11760.74,35154,Apartment,Owner,Semi-Furnished,Under Construction
Bangalore,1 BHK Apartment in Kasavanahalli,Kasavanahalli,1 BHK,197.27,1357,14537.21,47988,Apartment,Owner,Fully Furnished,Ready to Move
Bangalore,2 BHK Apartment in Hebbal,Hebbal,2 BHK,199.18,1248,15959.94,34725,Apartment,Owner,Fully Furnished,Under Construction
Bangalore,2 BHK Apartment in Koramangala,Koramangala,2 BHK,199.5,1436,13892.76,42503,Apartment,Builder,Semi-Furnished,Ready to Move
Bangalore,1 BHK Apartment in Malleshwaram,Malleshwaram,1 BHK,199.6,1407,14186.21,45313,Apartment,Owner,Unfurnished,Ready to Move
Bangalore,2 BHK Apartment in JP Nagar,JP Nagar,2 BHK,199.78,1181,16916.17,35768,Apartment,Owner,Semi-Furnished,Ready to Move
Bangalore,3 BHK Apartment in Bellandur,Bellandur,3 BHK,201.35,1480,13604.73,45224,Apartment,Builder,Fully Furnished,Ready to Move
Bangalore,2 BHK Apartment in Indiranagar,Indiranagar,2 BHK,201.36,1269,15867.61,37986,Apartment,Owner,Semi-Furnished,Under Construction
Bangalore,1 BHK Apartment in Yelahanka,Yelahanka,1 BHK,204.71,1344,15231.4,41756,Apartment,Owner,Fully Furnished,Under Construction
Bangalore,1 BHK Apartment in BTM Layout,BTM Layout,1 BHK,204.9,1416,14470.34,42716,Apartment,Owner,Fully Furnished,Ready to Move
Bangalore,3 BHK Apartment in Sarjapur Road,Sarjapur Road,3 BHK,205.08,1548,13248.06,45494,Apartment,Builder,Fully Furnished,Under Construction
Bangalore,1 BHK Apartment in Hoodi,Hoodi,1 BHK,205.14,1420,14446.48,45120,Apartment,Builder,Fully Furnished,Ready to Move
Bangalore,3 BHK Apartment in Hebbal,Hebbal,3 BHK,205.52,1493,13765.57,39893,Apartment,Builder,Semi-Furnished,Ready to Move
Bangalore,3 BHK Apartment in Jayanagar,Jayanagar,3 BHK,207.76,1540,13490.91,45110,Apartment,Owner,Unfurnished,Under Construction
Bangalore,1 BHK Apartment in Sarjapur Road,Sarjapur Road,1 BHK,208.41,1334,15622.94,42666,Apartment,Dealer,Unfurnished,Ready to Move
Bangalore,3 BHK Apartment in Yelahanka,Yelahanka,3 BHK,209.46,1472,14229.62,44008,Apartment,Builder,Semi-Furnished,Ready to Move
Bangalore,2 BHK Apartment in Electronic City,Electronic City,2 BHK,210.01,1472,14266.98,44484,Apartment,Owner,Unfurnished,Under Construction
Bangalore,3 BHK Apartment in Ramamurthy Nagar,Ramamurthy Nagar,3 BHK,211.46,1571,13460.22,49696,Apartment,Dealer,Unfurnished,Ready to Move
Bangalore,3 BHK Apartment in HSR Layout,HSR Layout,3 BHK,211.5,1490,14194.63,43380,Apartment,Builder,Semi-Furnished,Under Construction
Bangalore,2 BHK Apartment in Sarjapur Road,Sarjapur Road,2 BHK,213.24,1527,13964.64,38216,Apartment,Builder,Semi-Furnished,Ready to Move
Bangalore,3 BHK Apartment in BTM Layout,BTM Layout,3 BHK,214.33,1447,14812.02,41406,Apartment,Dealer,Fully Furnished,Ready to Move
Bangalore,3 BHK Apartment in Indiranagar,Indiranagar,3 BHK,214.96,1463,14693.1,45883,Apartment,Builder,Semi-Furnished,Under Construction
Bangalore,3 BHK Apartment in Electronic City,Electronic City,3 BHK,215.72,1579,13661.81,38411,Apartment,Owner,Unfurnished,Ready to Move
Bangalore,3 BHK Apartment in Bommanahalli,Bommanahalli,3 BHK,217.97,1498,14550.73,48840,Apartment,Builder,Fully Furnished,Under Construction
Bangalore,1 BHK Apartment in Hennur,Hennur,1 BHK,220.69,1348,16371.66,44231,Apartment,Dealer,Unfurnished,Ready to Move
Bangalore,3 BHK Apartment in Electronic City,Electronic City,3 BHK,222.5,1453,15313.15,52366,Apartment,Dealer,Fully Furnished,Under Construction
Bangalore,3 BHK Apartment in Koramangala,Koramangala,3 BHK,226.26,1540,14692.21,51018,Apartment,Builder,Fully Furnished,Ready to Move
Bangalore,1 BHK Apartment in Whitefield,Whitefield,1 BHK,228.02,1424,16012.64,42617,Apartment,Dealer,Fully Furnished,Under Construction
Bangalore,3 BHK Apartment in Whitefield,Whitefield,3 BHK,237.61,1552,15309.92,46511,Apartment,Builder,Semi-Furnished,Ready to Move
Bangalore,3 BHK Apartment in JP Nagar,JP Nagar,3 BHK,238.33,1545,15425.89,44370,Apartment,Dealer,Semi-Furnished,Under Construction
Bangalore,3 BHK Apartment in Hebbal,Hebbal,3 BHK,240.39,1444,16647.51,49599,Apartment,Owner,Unfurnished,Ready to Move
Bangalore,2 BHK Apartment in Bellandur,Bellandur,2 BHK,241.56,1733,13938.83,57548,Apartment,Owner,Unfurnished,Ready to Move
Bangalore,2 BHK Apartment in Marathahalli,Marathahalli,2 BHK,249.95,1703,14677.04,58025,Apartment,Dealer,Semi-Furnished,Ready to Move
Bangalore,2 BHK Apartment in Sarjapur Road,Sarjapur Road,2 BHK,251.02,1630,15400,55142,Apartment,Dealer,Unfurnished,Ready to Move
Bangalore,2 BHK Apartment in JP Nagar,JP Nagar,2 BHK,258.85,1594,16239.02,53913,Apartment,Owner,Semi-Furnished,Under Construction
Bangalore,2 BHK Apartment in Banashankari,Banashankari,2 BHK,266.47,1665,16004.2,56363,Apartment,Dealer,Unfurnished,Under Construction
Bangalore,2 BHK Apartment in Hebbal,Hebbal,2 BHK,266.62,1749,15244.14,49564,Apartment,Dealer,Fully Furnished,Ready to Move
Bangalore,3 BHK Apartment in Kasavanahalli,Kasavanahalli,3 BHK,272.25,1348,20196.59,60103,Apartment,Builder,Semi-Furnished,Under Construction
Bangalore,3 BHK Apartment in HSR Layout,HSR Layout,3 BHK,273.67,1411,19395.46,60669,Apartment,Owner,Fully Furnished,Ready to Move
Bangalore,2 BHK Apartment in Electronic City,Electronic City,2 BHK,273.9,1684,16264.85,52720,Apartment,Dealer,Fully Furnished,Ready to Move
Bangalore,2 BHK Apartment in Indiranagar,Indiranagar,2 BHK,274.06,1749,15669.53,53407,Apartment,Builder,Semi-Furnished,Under Construction
Bangalore,3 BHK Apartment in Indiranagar,Indiranagar,3 BHK,274.87,1459,18839.62,63455,Apartment,Owner,Unfurnished,Ready to Move
Bangalore,3 BHK Apartment in Whitefield,Whitefield,3 BHK,276.2,1420,19450.7,65728,Apartment,Dealer,Unfurnished,Under Construction
Bangalore,2 BHK Apartment in Jayanagar,Jayanagar,2 BHK,278.49,1688,16498.22,51327,Apartment,Builder,Semi-Furnished,Ready to Move
Bangalore,3 BHK Apartment in Koramangala,Koramangala,3 BHK,279.27,1433,19488.49,60514,Apartment,Owner,Unfurnished,Ready to Move
Bangalore,2 BHK Apartment in Koramangala,Koramangala,2 BHK,279.63,1613,17336.02,54570,Apartment,Owner,Fully Furnished,Ready to Move
Bangalore,3 BHK Apartment in Hennur,Hennur,3 BHK,283.01,1438,19680.81,66608,Apartment,Dealer,Fully Furnished,Ready to Move
Bangalore,3 BHK Apartment in Hoodi,Hoodi,3 BHK,291,1432,20321.23,59577,Apartment,Dealer,Fully Furnished,Ready to Move
Bangalore,4 BHK Apartment in Malleshwaram,Malleshwaram,4 BHK,303.4,1742,17416.76,70516,Apartment,Dealer,Semi-Furnished,Under Construction
Bangalore,4 BHK Apartment in Marathahalli,Marathahalli,4 BHK,305.59,1743,17532.42,74816,Apartment,Owner,Fully Furnished,Ready to Move
Bangalore,3 BHK Apartment in Bommanahalli,Bommanahalli,3 BHK,308.15,1362,22624.82,56900,Apartment,Owner,Unfurnished,Ready to Move
Bangalore,3 BHK Apartment in Electronic City,Electronic City,3 BHK,308.52,1465,21059.39,65544,Apartment,Owner,Fully Furnished,Under Construction
Bangalore,3 BHK Apartment in Ramamurthy Nagar,Ramamurthy Nagar,3 BHK,321.18,1457,22043.93,60107,Apartment,Dealer,Fully Furnished,Under Construction
Bangalore,3 BHK Apartment in Electronic City,Electronic City,3 BHK,324.03,1273,25454.05,79187,Apartment,Owner,Fully Furnished,Ready to Move
Bangalore,3 BHK Apartment in Kasavanahalli,Kasavanahalli,3 BHK,325.64,1202,27091.51,79043,Apartment,Owner,Fully Furnished,Ready to Move
Bangalore,4 BHK Apartment in Jayanagar,Jayanagar,4 BHK,326.15,1737,18776.63,62338,Apartment,Dealer,Unfurnished,Ready to Move
Bangalore,3 BHK Apartment in Indiranagar,Indiranagar,3 BHK,327.34,1261,25958.76,74912,Apartment,Owner,Unfurnished,Ready to Move
Bangalore,3 BHK Apartment in HSR Layout,HSR Layout,3 BHK,327.73,1196,27402.17,79355,Apartment,Dealer,Fully Furnished,Ready to Move
Bangalore,4 BHK Apartment in Banashankari,Banashankari,4 BHK,328.19,1734,18926.76,75543,Apartment,Owner,Unfurnished,Under Construction
Bangalore,3 BHK Apartment in Koramangala,Koramangala,3 BHK,331.56,1201,27606.99,66631,Apartment,Builder,Fully Furnished,Under Construction
Bangalore,3 BHK Apartment in Ramamurthy Nagar,Ramamurthy Nagar,3 BHK,339.93,1257,27042.96,78000,Apartment,Builder,Unfurnished,Ready to Move
Bangalore,4 BHK Apartment in Sarjapur Road,Sarjapur Road,4 BHK,340.38,1618,21037.08,62892,Apartment,Builder,Semi-Furnished,Under Construction
Bangalore,4 BHK Apartment in JP Nagar,JP Nagar,4 BHK,342.71,1705,20100.29,73438,Apartment,Builder,Unfurnished,Ready to Move
Bangalore,4 BHK Apartment in BTM Layout,BTM Layout,4 BHK,343.75,1646,20883.96,69744,Apartment,Dealer,Semi-Furnished,Ready to Move
Bangalore,4 BHK Apartment in Bellandur,Bellandur,4 BHK,348.01,1698,20495.29,66458,Apartment,Dealer,Semi-Furnished,Under Construction
Bangalore,4 BHK Apartment in Hennur,Hennur,4 BHK,355.61,1733,20519.91,62673,Apartment,Owner,Unfurnished,Ready to Move
Bangalore,3 BHK Apartment in Whitefield,Whitefield,3 BHK,356.69,1236,28858.41,76835,Apartment,Dealer,Semi-Furnished,Under Construction
Bangalore,3 BHK Apartment in Hennur,Hennur,3 BHK,356.86,1193,29912.82,71287,Apartment,Owner,Semi-Furnished,Ready to Move
Bangalore,4 BHK Apartment in Yelahanka,Yelahanka,4 BHK,361.14,1723,20959.95,62973,Apartment,Owner,Fully Furnished,Ready to Move
Bangalore,5 BHK Apartment in Hennur,Hennur,5 BHK,365.84,1446,25300.14,81612,Apartment,Dealer,Semi-Furnished,Ready to Move
Bangalore,3 BHK Apartment in Hoodi,Hoodi,3 BHK,367.08,1221,30063.88,75441,Apartment,Owner,Unfurnished,Ready to Move
Bangalore,5 BHK Apartment in Marathahalli,Marathahalli,5 BHK,370.59,1563,23710.17,83407,Apartment,Dealer,Semi-Furnished,Under Construction
