Title,City,Location,Bedrooms,Price_INR,Area_sqft,Price_per_sqft,Monthly_Rent
2 BHK Apartment in Viman Nagar,Pune,Viman Nagar,2 BHK,11858000,561,21137.2549,27493
1 BHK Apartment in Warje,Pune,Warje,1 BHK,11866000,812,14613.30049,23453
1 BHK Apartment in Bavdhan,Pune,Bavdhan,1 BHK,11882000,1342,8853.949329,24131
1 BHK Apartment in Viman Nagar,Pune,Viman Nagar,1 BHK,11961000,661,18095.31014,25578
2 BHK Apartment in Wagholi,Pune,Wagholi,2 BHK,11963000,576,20769.09722,24968
1 BHK Apartment in Nigdi,Pune,Nigdi,1 BHK,12069000,1185,10184.81013,27476
1 BHK Apartment in Kothrud,Pune,Kothrud,1 BHK,12074000,852,14171.3615,21857
1 BHK Apartment in Wakad,Pune,Wakad,1 BHK,12114000,1249,9698.959167,29707
1 BHK Apartment in Pimpri,Pune,Pimpri,1 BHK,12132000,1228,9879.478827,25367
2 BHK Apartment in Kothrud,Pune,Kothrud,2 BHK,12201000,545,22387.15596,27302
2 BHK Apartment in Warje,Pune,Warje,2 BHK,12265000,549,22340.61931,26911
1 BHK Apartment in Warje,Pune,Warje,1 BHK,12300000,1362,9030.837004,23155
1 BHK Apartment in Baner,Pune,Baner,1 BHK,12343000,1161,10631.35228,27569
1 BHK Apartment in Koregaon Park,Pune,Koregaon Park,1 BHK,12431000,1221,10180.99918,24610
2 BHK Apartment in Wakad,Pune,Wakad,2 BHK,12436000,564,22049.64539,24101
3 BHK Apartment in Pimpri,Pune,Pimpri,3 BHK,12756000,1412,9033.994334,30026
1 BHK Apartment in Hinjewadi,Pune,Hinjewadi,1 BHK,12796000,1259,10163.62192,25120
3 BHK Apartment in Nigdi,Pune,Nigdi,3 BHK,12825000,1428,8981.092437,31543
2 BHK Apartment in Koregaon Park,Pune,Koregaon Park,2 BHK,13001000,583,22300.17153,25269
1 BHK Apartment in Viman Nagar,Pune,Viman Nagar,1 BHK,13102000,1212,10810.23102,26201
3 BHK Apartment in Hadapsar,Pune,Hadapsar,3 BHK,13162000,1420,9269.014085,27321
1 BHK Apartment in Kothrud,Pune,Kothrud,1 BHK,13163000,1161,11337.63997,29399
3 BHK Apartment in Koregaon Park,Pune,Koregaon Park,3 BHK,13265000,1391,9536.304817,26717
4 BHK Apartment in Dhanori,Pune,Dhanori,4 BHK,13418000,1944,6902.263374,32601
4 BHK Apartment in Wagholi,Pune,Wagholi,4 BHK,13531000,2787,4855.041263,33139
1 BHK Apartment in Kharadi,Pune,Kharadi,1 BHK,13785000,1204,11449.33555,28396
3 BHK Apartment in Wakad,Pune,Wakad,3 BHK,13917000,1486,9365.410498,29835
3 BHK Apartment in Aundh,Pune,Aundh,3 BHK,13943000,1425,9784.561404,28115
4 BHK Apartment in Pashan,Pune,Pashan,4 BHK,14003000,2705,5176.709797,30657
4 BHK Apartment in Magarpatta,Pune,Magarpatta,4 BHK,14127000,1999,7067.033517,27652
4 BHK Apartment in Aundh,Pune,Aundh,4 BHK,14202000,2811,5052.294557,28212
4 BHK Apartment in Hadapsar,Pune,Hadapsar,4 BHK,14350000,2023,7093.425606,29627
4 BHK Apartment in Pashan,Pune,Pashan,4 BHK,14408000,1947,7400.102722,27468
2 BHK Apartment in Sus,Pune,Sus,2 BHK,14417000,1364,10569.64809,33799
4 BHK Apartment in Pimple Saudagar,Pune,Pimple Saudagar,4 BHK,14465000,2019,7164.437841,28450
4 BHK Apartment in Warje,Pune,Warje,4 BHK,14519000,2743,5293.109734,34241
4 BHK Apartment in Koregaon Park,Pune,Koregaon Park,4 BHK,14590000,1931,7555.670637,28598
3 BHK Apartment in Kharadi,Pune,Kharadi,3 BHK,14676000,1494,9823.293173,29243
4 BHK Apartment in Hinjewadi,Pune,Hinjewadi,4 BHK,14742000,2745,5370.491803,28855
3 BHK Apartment in Pimple Saudagar,Pune,Pimple Saudagar,3 BHK,14861000,1498,9920.560748,29174
2 BHK Apartment in Viman Nagar,Pune,Viman Nagar,2 BHK,14900000,1371,10867.97958,35196
3 BHK Apartment in Magarpatta,Pune,Magarpatta,3 BHK,14978000,1496,10012.03209,27058
4 BHK Apartment in Dhanori,Pune,Dhanori,4 BHK,14994000,2642,5675.246026,32891
4 BHK Apartment in Aundh,Pune,Aundh,4 BHK,15078000,1970,7653.807107,29604
4 BHK Apartment in Pimple Saudagar,Pune,Pimple Saudagar,4 BHK,15116000,2831,5339.456023,28662
2 BHK Apartment in Kharadi,Pune,Kharadi,2 BHK,15169000,1343,11294.86225,33859
3 BHK Apartment in Shivajinagar,Pune,Shivajinagar,3 BHK,15375000,1488,10332.66129,30920
3 BHK Apartment in Koregaon Park,Pune,Koregaon Park,3 BHK,15400000,639,24100.15649,36538
2 BHK Apartment in Hinjewadi,Pune,Hinjewadi,2 BHK,15562000,1344,11578.86905,30186
4 BHK Apartment in Nigdi,Pune,Nigdi,4 BHK,15571000,1938,8034.571723,31685
4 BHK Apartment in Sus,Pune,Sus,4 BHK,15582000,1947,8003.081664,30460
2 BHK Apartment in Bavdhan,Pune,Bavdhan,2 BHK,15714000,1370,11470.07299,32137
4 BHK Apartment in Shivajinagar,Pune,Shivajinagar,4 BHK,15818000,1947,8124.293785,29806
2 BHK Apartment in Wakad,Pune,Wakad,2 BHK,16004000,1298,12329.73806,35841
2 BHK Apartment in Kothrud,Pune,Kothrud,2 BHK,16081000,1341,11991.79717,35641
4 BHK Apartment in Shivajinagar,Pune,Shivajinagar,4 BHK,16134000,2859,5643.231899,28644
4 BHK Apartment in Sus,Pune,Sus,4 BHK,16217000,2762,5871.469949,29889
2 BHK Apartment in Warje,Pune,Warje,2 BHK,16227000,1401,11582.44111,33742
2 BHK Apartment in Baner,Pune,Baner,2 BHK,16273000,1407,11565.74271,32719
3 BHK Apartment in Wakad,Pune,Wakad,3 BHK,16281000,611,26646.48118,35349
4 BHK Apartment in Bavdhan,Pune,Bavdhan,4 BHK,16442000,2686,6121.370067,32247
3 BHK Apartment in Pimpri,Pune,Pimpri,3 BHK,16538000,656,25210.36585,36764
4 BHK Apartment in Magarpatta,Pune,Magarpatta,4 BHK,16544000,1050,15756.19048,37864
4 BHK Apartment in Nigdi,Pune,Nigdi,4 BHK,16596000,1045,15881.33971,38507
3 BHK Apartment in Magarpatta,Pune,Magarpatta,3 BHK,16658000,628,26525.47771,35570
4 BHK Apartment in Pashan,Pune,Pashan,4 BHK,16820000,1031,16314.258,36538
3 BHK Apartment in Baner,Pune,Baner,3 BHK,16891000,657,25709.28463,34763
2 BHK Apartment in Magarpatta,Pune,Magarpatta,2 BHK,17131000,1513,11322.538,39741
2 BHK Apartment in Bavdhan,Pune,Bavdhan,2 BHK,17197000,1514,11358.65258,43000
4 BHK Apartment in Hadapsar,Pune,Hadapsar,4 BHK,17212000,1062,16207.15631,37537
2 BHK Apartment in Wagholi,Pune,Wagholi,2 BHK,17241000,1293,13334.10673,36168
3 BHK Apartment in Hadapsar,Pune,Hadapsar,3 BHK,17376000,640,27150,33011
2 BHK Apartment in Shivajinagar,Pune,Shivajinagar,2 BHK,17439000,1459,11952.70733,41854
3 BHK Apartment in Kharadi,Pune,Kharadi,3 BHK,17454000,611,28566.28478,37007
2 BHK Apartment in Wagholi,Pune,Wagholi,2 BHK,17522000,1413,12400.56617,41656
3 BHK Apartment in Viman Nagar,Pune,Viman Nagar,3 BHK,17605000,643,27379.47123,37846
4 BHK Apartment in Koregaon Park,Pune,Koregaon Park,4 BHK,17777000,1024,17360.35156,40628
4 BHK Apartment in Sus,Pune,Sus,4 BHK,18008000,659,27326.2519,45441
3 BHK Apartment in Kothrud,Pune,Kothrud,3 BHK,18111000,623,29070.626,34048
4 BHK Apartment in Pimple Saudagar,Pune,Pimple Saudagar,4 BHK,18138000,985,18414.2132,41113
2 BHK Apartment in Dhanori,Pune,Dhanori,2 BHK,18155000,1515,11983.49835,38953
4 BHK Apartment in Aundh,Pune,Aundh,4 BHK,18251000,1021,17875.61214,34228
3 BHK Apartment in Nigdi,Pune,Nigdi,3 BHK,18464000,657,28103.50076,38202
4 BHK Apartment in Hinjewadi,Pune,Hinjewadi,4 BHK,18596000,650,28609.23077,45001
2 BHK Apartment in Warje,Pune,Warje,2 BHK,18672000,1426,13093.96914,36370
4 BHK Apartment in Pimpri,Pune,Pimpri,4 BHK,18776000,1063,17663.21731,34453
3 BHK Apartment in Dhanori,Pune,Dhanori,3 BHK,19014000,563,33772.64654,40312
2 BHK Apartment in Aundh,Pune,Aundh,2 BHK,19088000,1511,12632.69358,37222
4 BHK Apartment in Shivajinagar,Pune,Shivajinagar,4 BHK,19272000,1052,18319.39163,39815
3 BHK Apartment in Kothrud,Pune,Kothrud,3 BHK,19274000,538,35825.27881,43071
2 BHK Apartment in Sus,Pune,Sus,2 BHK,19280000,1468,13133.51499,39478
4 BHK Apartment in Kothrud,Pune,Kothrud,4 BHK,19294000,618,31220.06472,42187
1 BHK Apartment in Kothrud,Pune,Kothrud,1 BHK,19354000,1338,14464.87294,41530
3 BHK Apartment in Hinjewadi,Pune,Hinjewadi,3 BHK,19360000,563,34387.21137,39956
4 BHK Apartment in Kharadi,Pune,Kharadi,4 BHK,19490000,995,19587.9397,34700
2 BHK Apartment in Pashan,Pune,Pashan,2 BHK,19593000,1447,13540.42847,42405
1 BHK Apartment in Bavdhan,Pune,Bavdhan,1 BHK,19639000,1383,14200.28923,45898
3 BHK Apartment in Koregaon Park,Pune,Koregaon Park,3 BHK,19688000,1394,14123.38594,47835
3 BHK Apartment in Sus,Pune,Sus,3 BHK,19698000,542,36343.17343,41243
3 BHK Apartment in Shivajinagar,Pune,Shivajinagar,3 BHK,19946000,569,35054.48155,44071
1 BHK Apartment in Hinjewadi,Pune,Hinjewadi,1 BHK,19954000,1327,15036.9254,41125
1 BHK Apartment in Wagholi,Pune,Wagholi,1 BHK,20082000,1383,14520.60738,40172
3 BHK Apartment in Aundh,Pune,Aundh,3 BHK,20088000,1367,14694.95245,45792
4 BHK Apartment in Pashan,Pune,Pashan,4 BHK,20153000,655,30767.93893,39343
1 BHK Apartment in Baner,Pune,Baner,1 BHK,20383000,1386,14706.34921,38010
2 BHK Apartment in Pimple Saudagar,Pune,Pimple Saudagar,2 BHK,20384000,1453,14028.90571,41393
4 BHK Apartment in Baner,Pune,Baner,4 BHK,20388000,603,33810.94527,42687
1 BHK Apartment in Kharadi,Pune,Kharadi,1 BHK,20499000,1338,15320.6278,40614
4 BHK Apartment in Viman Nagar,Pune,Viman Nagar,4 BHK,20534000,652,31493.86503,44367
3 BHK Apartment in Warje,Pune,Warje,3 BHK,20543000,562,36553.38078,41477
4 BHK Apartment in Bavdhan,Pune,Bavdhan,4 BHK,20684000,648,31919.75309,43409
3 BHK Apartment in Pashan,Pune,Pashan,3 BHK,20685000,575,35973.91304,40397
4 BHK Apartment in Magarpatta,Pune,Magarpatta,4 BHK,20714000,605,34238.01653,46160
3 BHK Apartment in Pimple Saudagar,Pune,Pimple Saudagar,3 BHK,20748000,548,37861.31387,37322
1 BHK Apartment in Warje,Pune,Warje,1 BHK,20910000,1408,14850.85227,41559
3 BHK Apartment in Wagholi,Pune,Wagholi,3 BHK,21031000,569,36961.33568,37352
3 BHK Apartment in Bavdhan,Pune,Bavdhan,3 BHK,21053000,540,38987.03704,39664
4 BHK Apartment in Sus,Pune,Sus,4 BHK,21223000,650,32650.76923,46013
4 BHK Apartment in Nigdi,Pune,Nigdi,4 BHK,21248000,652,32588.95706,44176
3 BHK Apartment in Pimpri,Pune,Pimpri,3 BHK,21263000,1332,15963.21321,46206
2 BHK Apartment in Magarpatta,Pune,Magarpatta,2 BHK,21429000,2699,7939.607262,45692
1 BHK Apartment in Viman Nagar,Pune,Viman Nagar,1 BHK,21440000,1359,15776.30611,44677
4 BHK Apartment in Wagholi,Pune,Wagholi,4 BHK,21590000,629,34324.32432,45166
1 BHK Apartment in Sus,Pune,Sus,1 BHK,21692000,1373,15798.98034,38835
4 BHK Apartment in Warje,Pune,Warje,4 BHK,21749000,626,34742.8115,40100
3 BHK Apartment in Wakad,Pune,Wakad,3 BHK,21792000,1412,15433.42776,41887
4 BHK Apartment in Dhanori,Pune,Dhanori,4 BHK,21808000,627,34781.4992,41811
2 BHK Apartment in Wagholi,Pune,Wagholi,2 BHK,21825000,2652,8229.638009,51001
2 BHK Apartment in Pashan,Pune,Pashan,2 BHK,21835000,2733,7989.38895,50170
1 BHK Apartment in Wakad,Pune,Wakad,1 BHK,22147000,1361,16272.59368,41999
3 BHK Apartment in Nigdi,Pune,Nigdi,3 BHK,22190000,1342,16535.02235,45616
3 BHK Apartment in Hadapsar,Pune,Hadapsar,3 BHK,22234000,1369,16241.05186,44375
4 BHK Apartment in Dhanori,Pune,Dhanori,4 BHK,22474000,607,37024.7117,44358
3 BHK Apartment in Wakad,Pune,Wakad,3 BHK,22684000,1961,11567.56757,54905
3 BHK Apartment in Baner,Pune,Baner,3 BHK,22759000,1348,16883.53116,41256
3 BHK Apartment in Hinjewadi,Pune,Hinjewadi,3 BHK,22852000,2081,10981.25901,53867
2 BHK Apartment in Shivajinagar,Pune,Shivajinagar,2 BHK,22912000,2770,8271.480144,51124
3 BHK Apartment in Magarpatta,Pune,Magarpatta,3 BHK,22953000,1408,16301.84659,46699
2 BHK Apartment in Pimple Saudagar,Pune,Pimple Saudagar,2 BHK,23199000,2767,8384.170582,49132
3 BHK Apartment in Kharadi,Pune,Kharadi,3 BHK,23406000,1349,17350.6301,47939
1 BHK Apartment in Pimpri,Pune,Pimpri,1 BHK,23424000,802,29206.98254,49582
3 BHK Apartment in Wagholi,Pune,Wagholi,3 BHK,23494000,2056,11427.0428,52253
3 BHK Apartment in Viman Nagar,Pune,Viman Nagar,3 BHK,23609000,1345,17553.15985,42092
4 BHK Apartment in Aundh,Pune,Aundh,4 BHK,23737000,621,38223.83253,51881
4 BHK Apartment in Pimple Saudagar,Pune,Pimple Saudagar,4 BHK,23737000,661,35910.7413,46633
4 BHK Apartment in Pashan,Pune,Pashan,4 BHK,23781000,610,38985.2459,44811
1 BHK Apartment in Hadapsar,Pune,Hadapsar,1 BHK,23989000,808,29689.35644,57535
3 BHK Apartment in Viman Nagar,Pune,Viman Nagar,3 BHK,24330000,2019,12050.52006,48321
2 BHK Apartment in Aundh,Pune,Aundh,2 BHK,24394000,2859,8532.35397,45169
4 BHK Apartment in Hadapsar,Pune,Hadapsar,4 BHK,24430000,649,37642.52696,52525
2 BHK Apartment in Warje,Pune,Warje,2 BHK,24531000,2850,8607.368421,52046
4 BHK Apartment in Koregaon Park,Pune,Koregaon Park,4 BHK,24541000,605,40563.63636,47514
3 BHK Apartment in Kharadi,Pune,Kharadi,3 BHK,24613000,1967,12512.9639,52720
5 BHK Apartment in Magarpatta,Pune,Magarpatta,5 BHK,24874000,641,38804.9922,62085
3 BHK Apartment in Pimpri,Pune,Pimpri,3 BHK,24911000,1913,13021.95504,52642
2 BHK Apartment in Bavdhan,Pune,Bavdhan,2 BHK,25164000,2867,8777.11894,51403
2 BHK Apartment in Dhanori,Pune,Dhanori,2 BHK,25178000,2749,9158.966897,49734
4 BHK Apartment in Shivajinagar,Pune,Shivajinagar,4 BHK,25192000,605,41639.66942,43841
5 BHK Apartment in Nigdi,Pune,Nigdi,5 BHK,25193000,642,39241.43302,56170
1 BHK Apartment in Baner,Pune,Baner,1 BHK,25441000,871,29208.95522,48818
1 BHK Apartment in Viman Nagar,Pune,Viman Nagar,1 BHK,25456000,830,30669.87952,52476
1 BHK Apartment in Wakad,Pune,Wakad,1 BHK,25670000,844,30414.69194,48948
2 BHK Apartment in Sus,Pune,Sus,2 BHK,25728000,2733,9413.830955,50114
3 BHK Apartment in Koregaon Park,Pune,Koregaon Park,3 BHK,25747000,1977,13023.26758,54215
5 BHK Apartment in Sus,Pune,Sus,5 BHK,25818000,645,40027.90698,53539
3 BHK Apartment in Baner,Pune,Baner,3 BHK,25862000,1950,13262.5641,54500
5 BHK Apartment in Aundh,Pune,Aundh,5 BHK,26118000,659,39632.77693,61685
1 BHK Apartment in Magarpatta,Pune,Magarpatta,1 BHK,26263000,805,32624.84472,56973
5 BHK Apartment in Pashan,Pune,Pashan,5 BHK,26301000,650,40463.07692,59785
1 BHK Apartment in Kharadi,Pune,Kharadi,1 BHK,26384000,815,32373.00613,54797
3 BHK Apartment in Kothrud,Pune,Kothrud,3 BHK,26474000,2040,12977.45098,51947
1 BHK Apartment in Kothrud,Pune,Kothrud,1 BHK,26549000,836,31757.17703,52802
1 BHK Apartment in Nigdi,Pune,Nigdi,1 BHK,26712000,881,30320.09081,49004
1 BHK Apartment in Koregaon Park,Pune,Koregaon Park,1 BHK,26716000,852,31356.80751,55331
5 BHK Apartment in Pimple Saudagar,Pune,Pimple Saudagar,5 BHK,26779000,608,44044.40789,53684
5 BHK Apartment in Bavdhan,Pune,Bavdhan,5 BHK,26978000,659,40937.78452,54453
5 BHK Apartment in Shivajinagar,Pune,Shivajinagar,5 BHK,27006000,631,42798.73217,60911
3 BHK Apartment in Hadapsar,Pune,Hadapsar,3 BHK,27285000,1957,13942.25856,48333
2 BHK Apartment in Magarpatta,Pune,Magarpatta,2 BHK,27475000,1756,15646.35535,58213
2 BHK Apartment in Nigdi,Pune,Nigdi,2 BHK,27906000,1760,15855.68182,60340
2 BHK Apartment in Koregaon Park,Pune,Koregaon Park,2 BHK,28380000,1606,17671.23288,63066
5 BHK Apartment in Hadapsar,Pune,Hadapsar,5 BHK,28480000,603,47230.5141,60394
2 BHK Apartment in Aundh,Pune,Aundh,2 BHK,29672000,1691,17547.0136,57026
2 BHK Apartment in Viman Nagar,Pune,Viman Nagar,2 BHK,29822000,2621,11378.09996,64337
5 BHK Apartment in Dhanori,Pune,Dhanori,5 BHK,29980000,644,46552.79503,54732
2 BHK Apartment in Viman Nagar,Pune,Viman Nagar,2 BHK,30355000,1748,17365.56064,59369
2 BHK Apartment in Kharadi,Pune,Kharadi,2 BHK,30422000,1725,17635.94203,65610
2 BHK Apartment in Wakad,Pune,Wakad,2 BHK,30479000,2761,11039.11626,64386
2 BHK Apartment in Hadapsar,Pune,Hadapsar,2 BHK,30517000,1731,17629.69382,56776
2 BHK Apartment in Pimpri,Pune,Pimpri,2 BHK,30977000,1696,18264.74057,57832
2 BHK Apartment in Kothrud,Pune,Kothrud,2 BHK,31315000,2627,11920.44157,71543
2 BHK Apartment in Wagholi,Pune,Wagholi,2 BHK,31369000,2864,10952.86313,73614
1 BHK Apartment in Hadapsar,Pune,Hadapsar,1 BHK,31555000,1196,26383.77926,70449
2 BHK Apartment in Wakad,Pune,Wakad,2 BHK,31650000,1743,18158.34768,58546
2 BHK Apartment in Kharadi,Pune,Kharadi,2 BHK,31657000,2882,10984.38584,68815
1 BHK Apartment in Wakad,Pune,Wakad,1 BHK,31813000,1208,26335.2649,79262
1 BHK Apartment in Pimple Saudagar,Pune,Pimple Saudagar,1 BHK,31897000,1142,27930.82312,72430
2 BHK Apartment in Bavdhan,Pune,Bavdhan,2 BHK,32751000,2728,12005.49853,73690
2 BHK Apartment in Baner,Pune,Baner,2 BHK,32790000,1646,19921.02066,68147
1 BHK Apartment in Koregaon Park,Pune,Koregaon Park,1 BHK,33744000,1166,28939.96569,73956
2 BHK Apartment in Warje,Pune,Warje,2 BHK,33806000,2703,12506.84425,68250
1 BHK Apartment in Pimpri,Pune,Pimpri,1 BHK,33840000,1140,29684.21053,70672
2 BHK Apartment in Baner,Pune,Baner,2 BHK,35086000,2787,12589.16398,70422
1 BHK Apartment in Magarpatta,Pune,Magarpatta,1 BHK,35207000,1174,29988.92675,79221
2 BHK Apartment in Hinjewadi,Pune,Hinjewadi,2 BHK,35922000,2712,13245.57522,62730
2 BHK Apartment in Pimpri,Pune,Pimpri,2 BHK,35951000,2809,12798.50481,71420
3 BHK Apartment in Wagholi,Pune,Wagholi,3 BHK,36832000,1029,35793.97473,78750
1 BHK Apartment in Shivajinagar,Pune,Shivajinagar,1 BHK,36885000,1169,31552.60907,77894
1 BHK Apartment in Kharadi,Pune,Kharadi,1 BHK,37210000,1146,32469.45899,69262
1 BHK Apartment in Dhanori,Pune,Dhanori,1 BHK,37368000,651,57400.92166,86892
3 BHK Apartment in Pashan,Pune,Pashan,3 BHK,37369000,995,37556.78392,89669
1 BHK Apartment in Viman Nagar,Pune,Viman Nagar,1 BHK,37396000,638,58614.42006,90956
1 BHK Apartment in Hinjewadi,Pune,Hinjewadi,1 BHK,37529000,663,56604.82655,93058
4 BHK Apartment in Magarpatta,Pune,Magarpatta,4 BHK,37548000,574,65414.63415,79634
1 BHK Apartment in Nigdi,Pune,Nigdi,1 BHK,37671000,1225,30751.83673,66240
4 BHK Apartment in Shivajinagar,Pune,Shivajinagar,4 BHK,37764000,567,66603.1746,78289
3 BHK Apartment in Warje,Pune,Warje,3 BHK,37794000,1018,37125.73674,86675
4 BHK Apartment in Pashan,Pune,Pashan,4 BHK,37827000,550,68776.36364,83407
1 BHK Apartment in Warje,Pune,Warje,1 BHK,38233000,652,58639.57055,88365
1 BHK Apartment in Aundh,Pune,Aundh,1 BHK,38292000,1217,31464.25637,69052
1 BHK Apartment in Kothrud,Pune,Kothrud,1 BHK,38324000,618,62012.94498,78163
3 BHK Apartment in Hinjewadi,Pune,Hinjewadi,3 BHK,38340000,1027,37332.03505,87271
3 BHK Apartment in Shivajinagar,Pune,Shivajinagar,3 BHK,38452000,1009,38109.01883,79370
4 BHK Apartment in Koregaon Park,Pune,Koregaon Park,4 BHK,39241000,576,68126.73611,80144
3 BHK Apartment in Bavdhan,Pune,Bavdhan,3 BHK,39792000,1018,39088.40864,78056
4 BHK Apartment in Hadapsar,Pune,Hadapsar,4 BHK,39852000,561,71037.43316,78196
4 BHK Apartment in Pimple Saudagar,Pune,Pimple Saudagar,4 BHK,40389000,571,70733.80035,84240
4 BHK Apartment in Dhanori,Pune,Dhanori,4 BHK,40601000,539,75326.53061,87363
1 BHK Apartment in Wakad,Pune,Wakad,1 BHK,40738000,617,66025.93193,94138
1 BHK Apartment in Wagholi,Pune,Wagholi,1 BHK,40768000,628,64917.19745,91864
3 BHK Apartment in Pimple Saudagar,Pune,Pimple Saudagar,3 BHK,40975000,1057,38765.3737,93131
1 BHK Apartment in Baner,Pune,Baner,1 BHK,41153000,662,62164.65257,86090
4 BHK Apartment in Nigdi,Pune,Nigdi,4 BHK,41300000,534,77340.82397,80703
4 BHK Apartment in Aundh,Pune,Aundh,4 BHK,41466000,550,75392.72727,78918
3 BHK Apartment in Kothrud,Pune,Kothrud,3 BHK,41569000,1071,38813.25864,90753
3 BHK Apartment in Aundh,Pune,Aundh,3 BHK,42261000,1242,34026.57005,85790
3 BHK Apartment in Warje,Pune,Warje,3 BHK,42364000,1220,34724.59016,96418
3 BHK Apartment in Dhanori,Pune,Dhanori,3 BHK,42468000,1029,41271.13703,92079
3 BHK Apartment in Shivajinagar,Pune,Shivajinagar,3 BHK,43103000,1242,34704.50886,89637
3 BHK Apartment in Sus,Pune,Sus,3 BHK,43168000,1003,43038.88335,79641
4 BHK Apartment in Pimpri,Pune,Pimpri,4 BHK,43564000,557,78211.84919,90246
1 BHK Apartment in Sus,Pune,Sus,1 BHK,43830000,667,65712.14393,84158
3 BHK Apartment in Hinjewadi,Pune,Hinjewadi,3 BHK,43881000,1172,37441.12628,96545
2 BHK Apartment in Pimple Saudagar,Pune,Pimple Saudagar,2 BHK,44449000,1072,41463.6194,109378
2 BHK Apartment in Shivajinagar,Pune,Shivajinagar,2 BHK,44568000,1065,41847.88732,112496
2 BHK Apartment in Pimpri,Pune,Pimpri,2 BHK,45252000,1159,39044.00345,97491
1 BHK Apartment in Bavdhan,Pune,Bavdhan,1 BHK,45255000,644,70271.73913,93414
2 BHK Apartment in Bavdhan,Pune,Bavdhan,2 BHK,45376000,1029,44097.18173,97351
3 BHK Apartment in Bavdhan,Pune,Bavdhan,3 BHK,45442000,1214,37431.63097,87889
3 BHK Apartment in Pashan,Pune,Pashan,3 BHK,45621000,1227,37180.9291,86995
3 BHK Apartment in Pimple Saudagar,Pune,Pimple Saudagar,3 BHK,46230000,1196,38653.84615,94534
2 BHK Apartment in Wakad,Pune,Wakad,2 BHK,46645000,1238,37677.70598,105557
2 BHK Apartment in Hinjewadi,Pune,Hinjewadi,2 BHK,46820000,1193,39245.59933,112699
2 BHK Apartment in Sus,Pune,Sus,2 BHK,47032000,1023,45974.58456,97344
2 BHK Apartment in Kharadi,Pune,Kharadi,2 BHK,47261000,1228,38486.15635,112274
3 BHK Apartment in Sus,Pune,Sus,3 BHK,47675000,1242,38385.66828,100851
2 BHK Apartment in Dhanori,Pune,Dhanori,2 BHK,47678000,995,47917.58794,99443
2 BHK Apartment in Bavdhan,Pune,Bavdhan,2 BHK,48114000,1525,31550.16393,101242
2 BHK Apartment in Viman Nagar,Pune,Viman Nagar,2 BHK,48266000,1188,40627.94613,96208
2 BHK Apartment in Hinjewadi,Pune,Hinjewadi,2 BHK,48365000,1011,47838.77349,106394
2 BHK Apartment in Kothrud,Pune,Kothrud,2 BHK,48424000,1443,33557.86556,111709
2 BHK Apartment in Sus,Pune,Sus,2 BHK,48725000,1414,34458.98161,94853
2 BHK Apartment in Baner,Pune,Baner,2 BHK,48743000,1501,32473.68421,104989
2 BHK Apartment in Hinjewadi,Pune,Hinjewadi,2 BHK,48800000,1517,32168.75412,94099
3 BHK Apartment in Wagholi,Pune,Wagholi,3 BHK,49054000,1210,40540.49587,94688
2 BHK Apartment in Kharadi,Pune,Kharadi,2 BHK,49113000,1467,33478.52761,99673
3 BHK Apartment in Dhanori,Pune,Dhanori,3 BHK,49250000,1246,39526.48475,93650
2 BHK Apartment in Viman Nagar,Pune,Viman Nagar,2 BHK,49991000,1441,34691.88064,109185
2 BHK Apartment in Pashan,Pune,Pashan,2 BHK,50629000,1066,47494.37148,111671
2 BHK Apartment in Wagholi,Pune,Wagholi,2 BHK,50726000,1049,48356.53003,98847
2 BHK Apartment in Warje,Pune,Warje,2 BHK,50734000,1055,48089.09953,109973
2 BHK Apartment in Wagholi,Pune,Wagholi,2 BHK,50933000,1479,34437.45774,109844
2 BHK Apartment in Wakad,Pune,Wakad,2 BHK,50945000,1507,33805.57399,108052
2 BHK Apartment in Kothrud,Pune,Kothrud,2 BHK,51065000,1217,41959.73706,105312
2 BHK Apartment in Aundh,Pune,Aundh,2 BHK,52245000,1029,50772.59475,97780
2 BHK Apartment in Bavdhan,Pune,Bavdhan,2 BHK,52443000,1249,41987.99039,100114
2 BHK Apartment in Baner,Pune,Baner,2 BHK,52569000,1175,44739.57447,107527
2 BHK Apartment in Warje,Pune,Warje,2 BHK,52799000,1147,46032.25806,100039
2 BHK Apartment in Wagholi,Pune,Wagholi,2 BHK,54018000,1224,44132.35294,111931
2 BHK Apartment in Warje,Pune,Warje,2 BHK,54406000,1384,39310.69364,110120
1 BHK Apartment in Pimpri,Pune,Pimpri,1 BHK,73053000,1385,52745.84838,152313
1 BHK Apartment in Warje,Pune,Warje,1 BHK,74245000,1504,49365.0266,150191
1 BHK Apartment in Hinjewadi,Pune,Hinjewadi,1 BHK,76653000,1408,54441.05114,160670
1 BHK Apartment in Wakad,Pune,Wakad,1 BHK,76729000,1511,50780.27796,150827
1 BHK Apartment in Baner,Pune,Baner,1 BHK,79574000,1519,52385.78012,182399
1 BHK Apartment in Kharadi,Pune,Kharadi,1 BHK,80819000,1493,54131.9491,163416
1 BHK Apartment in Viman Nagar,Pune,Viman Nagar,1 BHK,83433000,1475,56564.74576,160680
1 BHK Apartment in Kothrud,Pune,Kothrud,1 BHK,84753000,1523,55648.71963,162212
1 BHK Apartment in Bavdhan,Pune,Bavdhan,1 BHK,85607000,1500,57071.33333,150745
